time: <class 'datetime.datetime'>index, node loc, heuristic
124, (145.23104807  15.14234631   0.        ), 320.50331539925594
125, (1.46016446e+02 1.51423463e+01 1.04719755e-01), 320.9853037783174
126, (1.47057907e+02 1.52518083e+01 1.04719755e-01), 321.7336552752218
127, (1.48099368e+02 1.53612702e+01 1.04719755e-01), 322.4865910984221
128, (1.49140829e+02 1.54707322e+01 1.04719755e-01), 323.2441316494949
129, (1.50182290e+02 1.55801941e+01 1.04719755e-01), 324.0062971291631
130, (1.51223751e+02 1.56896561e+01 1.04719755e-01), 324.7731075311125
131, (152.00484637  15.77175252   0.20943951), 325.2827832480073
132, (153.02916015  15.98947714   0.20943951), 326.0589426165038
133, (153.54131703  16.09833944   0.20943951), 326.3162068086798
134, (154.05347392  16.20720175   0.20943951), 325.87545418750483
135, (155.07778769  16.42492636   0.20943951), 326.6597511124803
136, (156.10210146  16.64265098   0.20943951), 327.4488095999293
137, (157.12641524  16.86037559   0.20943951), 328.2426485357071
138, (157.89465056  17.02366905   0.31415927), 328.77948716536554
139, (158.39262259  17.18546997   0.31415927), 328.33401131112225
140, (159.13958063  17.42817135   0.41887902), 328.8744485083913
141, (160.0962432   17.85410497   0.41887902), 329.6815418541165
142, (160.57457448  18.06707178   0.41887902), 329.9699112821262
143, (161.05290577  18.28003858   0.41887902), 329.52112293378866
144, (162.00956833  18.7059722    0.41887902), 330.33681792025385
145, (162.72706526  19.02542241   0.52359878), 330.8956458614433
146, (163.1805151   19.2872218    0.52359878), 330.4448095982025
147, (164.08741478  19.81082058   0.52359878), 331.26925423299184
148, (164.54086462  20.07261996   0.52359878), 331.5750899459101
149, (165.22103938  20.46531905   0.62831853), 331.3840541350152
150, (166.06824     21.08084632   0.62831853), 332.21739804581273
151, (166.49184031  21.38860996   0.62831853), 331.55380999460056
152, (167.12724077  21.85025542   0.73303829), 332.339208157998
153, (167.71090535  22.37578937   0.83775804), 332.9198031212883
154, (168.06126131  22.76489909   0.83775804), 332.4641781454137
155, (168.41161728  23.15400881   0.83775804), 332.78703105170933
156, (168.76197325  23.54311853   0.83775804), 332.3305690550989
157, (169.2875072   24.12678311   0.73303829), 333.1159672184964
158, (169.67661692  24.47713908   0.73303829), 332.4620414777567
159, (170.2602815   25.00267303   0.62831853), 333.2474396411542
160, (171.10748211  25.6182003    0.62831853), 333.12045803003605
161, (171.74288257  26.07984576   0.73303829), 333.7176166251573
162, (172.1319923   26.43020173   0.73303829), 333.25868583751657
163, (172.91021174  27.13091366   0.73303829), 334.12192708141106
164, (173.29932146  27.48126963   0.73303829), 333.662189223185
165, (173.88298604  28.00680358   0.62831853), 334.26797314835443
166, (174.30658635  28.31456721   0.62831853), 333.807437089436
167, (175.15378696  28.93009449   0.62831853), 334.67942223536534
168, (175.57738727  29.23785813   0.62831853), 335.03320795722095
169, (176.00098758  29.54562177   0.62831853), 334.57094638006754
170, (176.63638804  30.00726722   0.73303829), 335.19103755735375
171, (177.02549776  30.35762319   0.73303829), 334.7280155509334
172, (177.8037172   31.05833512   0.73303829), 335.61447423489574
173, (178.19282692  31.40869109   0.73303829), 335.1507031945654
174, (178.97104636  32.10940302   0.73303829), 336.04179303523057
175, (179.36015608  32.45975899   0.73303829), 335.5772850494228
176, (180.13837552  33.16047092   0.73303829), 336.47307008243865
177, (180.52748525  33.51082689   0.73303829), 335.8611856787501
178, (181.11114983  34.03636084   0.83775804), 336.6465838421475
179, (181.46150579  34.42547056   0.83775804), 336.03881516056714
180, (181.98703974  35.00913514   0.73303829), 336.8242133239646
181, (182.37614946  35.3594911    0.73303829), 336.357574381713
182, (183.1543689   36.06020304   0.73303829), 337.26783934548223
183, (183.54347862  36.410559     0.73303829), 336.66854824563
184, (184.32169807  37.11127094   0.73303829), 337.7157457968266
185, (185.09991751  37.81198287   0.73303829), 337.6444190691226
186, (185.48902723  38.16233883   0.73303829), 338.04689299090415
187, (186.07269181  38.68787278   0.83775804), 337.839344422444
188, (186.42304778  39.0769825    0.83775804), 338.2469652091632
189, (186.77340374  39.46609222   0.83775804), 337.7770121494324
190, (187.29893769  40.04975681   0.73303829), 338.5624103128298
191, (187.68804741  40.40011277   0.73303829), 337.98111210751773
192, (188.07715713  40.75046874   0.73303829), 338.504710883116
193, (188.46626685  41.1008247    0.73303829), 338.9228410702317
194, (189.04993143  41.62635865   0.83775804), 338.7135368223274
195, (189.57546538  42.21002323   0.73303829), 339.3988310544004
196, (190.15912996  42.73555718   0.83775804), 339.18898336702205
197, (190.50948593  43.1246669    0.83775804), 339.6179175960327
198, (191.03501988  43.70833149   0.9424778 ), 339.40754911990075
199, (191.34278352  44.13193179   0.9424778 ), 339.8419985334468
200, (191.65054716  44.5555321    0.9424778 ), 339.3693336442351
201, (192.11219261  45.19093256   1.04719755), 340.1547318076325
