time: <class 'datetime.datetime'>index, node loc, heuristic
66, ( 9.10000000e+01  2.50000000e+01 -5.86197757e-14), 246.60009363293827
67, ( 9.20000000e+01  2.50000000e+01 -5.95079541e-14), 246.56337085477645
68, ( 9.30000000e+01  2.50000000e+01 -6.03961325e-14), 246.52999788265186
69, ( 9.4000000e+01  2.5000000e+01 -6.1284311e-14), 246.5
70, ( 9.50000000e+01  2.50000000e+01 -6.21724894e-14), 246.4734025829253
71, ( 9.60000000e+01  2.50000000e+01 -6.30606678e-14), 246.45023109728987
72, ( 9.70000000e+01  2.50000000e+01 -6.39488462e-14), 246.4305110957059
73, ( 9.80000000e+01  2.50000000e+01 -6.48370246e-14), 246.41426821443082
74, ( 9.90000000e+01  2.50000000e+01 -6.57252031e-14), 246.40152817016403
75, ( 1.00000000e+02  2.50000000e+01 -6.66133815e-14), 246.39231675674432
76, ( 1.01000000e+02  2.50000000e+01 -6.75015599e-14), 246.38665984174708
77, ( 1.02000000e+02  2.50000000e+01 -6.83897383e-14), 246.38458336298052
78, ( 1.03000000e+02  2.50000000e+01 -6.92779167e-14), 246.38611332488009
79, (102.5         26.81379936   2.0943951 ), 246.3912757948
80, (103.          29.53449841  -1.04719755), 246.51876428063383
81, (103.5         31.34829777   1.04719755), 243.92074623793906
82, (103.          34.06899682  -2.0943951 ), 242.69283576765935
83, (103.5         36.78969587   1.04719755), 240.61052207254141
84, (103.          39.51039491  -2.0943951 ), 239.39554199626699
85, ( 1.04000000e+02  3.95103949e+01 -7.54951657e-14), 237.33326204732086
86, (103.5         41.32419428  -2.0943951 ), 237.31160541768986
87, ( 1.04500000e+02  4.13241943e+01 -7.72715225e-14), 236.63207915827965
88, (104.          43.13799364  -2.0943951 ), 236.6058150731696
89, ( 1.05000000e+02  4.31379936e+01 -7.90478794e-14), 235.93667360252581
90, (104.5         44.95179301  -2.0943951 ), 235.90573590125572
91, ( 1.05500000e+02  4.49517930e+01 -8.08242362e-14), 235.557885919001
92, (105.          46.76559237  -2.0943951 ), 235.52836199366047
93, ( 1.06000000e+02  4.67655924e+01 -8.26005930e-14), 234.86666371733614
94, (106.5         47.67249205  -1.04719755), 234.83237207680682
95, ( 1.07500000e+02  4.76724921e+01 -8.43769499e-14), 233.95374761586316
